Commodity,Category,pH,Moisture_Content,Storage_Temperature,Respiration_Rate,Oxygen_Sensitivity,Moisture_Sensitivity,Light_Sensitivity,Typical_Shelf_Life,Recommended_Packaging,Packaging_Reason,Farmer_Action,
Skim milk powder,Eggs & dairy,4.5–7.0,30–90%,0–7°C*,N/A,Medium–High,Medium–High,Medium–High,days–months*,"Food-grade carton, bottle or high-barrier sealed container","Protects from contamination, light, oxygen and moisture while maintaining the required cold chain.",Keep hygienically handled and refrigerated when required; avoid temperature fluctuations and direct sunlight.,
Cane sugar,Sugars & sweeteners,4.5–7.0,1–25%,15–25°C,N/A,Low–Medium,High,Medium,12–36 months,Moisture-barrier food-grade pouch or sealed container,"Primary risk is moisture pickup causing caking, fermentation or quality loss.",Keep dry and sealed; prevent water ingress and store away from heat and contamination.,
Brown sugar,Sugars & sweeteners,4.5–7.0,1–25%,15–25°C,N/A,Low–Medium,High,Medium,12–36 months,Moisture-barrier food-grade pouch or sealed container,"Primary risk is moisture pickup causing caking, fermentation or quality loss.",Keep dry and sealed; prevent water ingress and store away from heat and contamination.,
Raw sugar,Sugars & sweeteners,4.5–7.0,1–25%,15–25°C,N/A,Low–Medium,High,Medium,12–36 months,Moisture-barrier food-grade pouch or sealed container,"Primary risk is moisture pickup causing caking, fermentation or quality loss.",Keep dry and sealed; prevent water ingress and store away from heat and contamination.,
Muscovado sugar,Sugars & sweeteners,4.5–7.0,1–25%,15–25°C,N/A,Low–Medium,High,Medium,12–36 months,Moisture-barrier food-grade pouch or sealed container,"Primary risk is moisture pickup causing caking, fermentation or quality loss.",Keep dry and sealed; prevent water ingress and store away from heat and contamination.,
Jaggery,Sugars & sweeteners,4.5–7.0,1–25%,15–25°C,N/A,Low–Medium,High,Medium,12–36 months,Moisture-barrier food-grade pouch or sealed container,"Primary risk is moisture pickup causing caking, fermentation or quality loss.",Keep dry and sealed; prevent water ingress and store away from heat and contamination.,
Palm sugar,Sugars & sweeteners,4.5–7.0,1–25%,15–25°C,N/A,Low–Medium,High,Medium,12–36 months,Moisture-barrier food-grade pouch or sealed container,"Primary risk is moisture pickup causing caking, fermentation or quality loss.",Keep dry and sealed; prevent water ingress and store away from heat and contamination.,
Coconut sugar,Sugars & sweeteners,4.5–7.0,1–25%,15–25°C,N/A,Low–Medium,High,Medium,12–36 months,Moisture-barrier food-grade pouch or sealed container,"Primary risk is moisture pickup causing caking, fermentation or quality loss.",Keep dry and sealed; prevent water ingress and store away from heat and contamination.,
Date sugar,Sugars & sweeteners,4.5–7.0,1–25%,15–25°C,N/A,Low–Medium,High,Medium,12–36 months,Moisture-barrier food-grade pouch or sealed container,"Primary risk is moisture pickup causing caking, fermentation or quality loss.",Keep dry and sealed; prevent water ingress and store away from heat and contamination.,
Powdered sugar,Sugars & sweeteners,4.5–7.0,1–25%,15–25°C,N/A,Low–Medium,High,Medium,12–36 months,Moisture-barrier food-grade pouch or sealed container,"Primary risk is moisture pickup causing caking, fermentation or quality loss.",Keep dry and sealed; prevent water ingress and store away from heat and contamination.,
Icing sugar,Sugars & sweeteners,4.5–7.0,1–25%,15–25°C,N/A,Low–Medium,High,Medium,12–36 months,Moisture-barrier food-grade pouch or sealed container,"Primary risk is moisture pickup causing caking, fermentation or quality loss.",Keep dry and sealed; prevent water ingress and store away from heat and contamination.,
Glucose syrup,Sugars & sweeteners,4.5–7.0,1–25%,15–25°C,N/A,Low–Medium,High,Medium,12–36 months,Moisture-barrier food-grade pouch or sealed container,"Primary risk is moisture pickup causing caking, fermentation or quality loss.",Keep dry and sealed; prevent water ingress and store away from heat and contamination.,
Corn syrup,Sugars & sweeteners,4.5–7.0,1–25%,15–25°C,N/A,Low–Medium,High,Medium,12–36 months,Moisture-barrier food-grade pouch or sealed container,"Primary risk is moisture pickup causing caking, fermentation or quality loss.",Keep dry and sealed; prevent water ingress and store away from heat and contamination.,
High-fructose corn syrup,Sugars & sweeteners,4.5–7.0,1–25%,15–25°C,N/A,Low–Medium,High,Medium,12–36 months,Moisture-barrier food-grade pouch or sealed container,"Primary risk is moisture pickup causing caking, fermentation or quality loss.",Keep dry and sealed; prevent water ingress and store away from heat and contamination.,
Invert syrup,Sugars & sweeteners,4.5–7.0,1–25%,15–25°C,N/A,Low–Medium,High,Medium,12–36 months,Moisture-barrier food-grade pouch or sealed container,"Primary risk is moisture pickup causing caking, fermentation or quality loss.",Keep dry and sealed; prevent water ingress and store away from heat and contamination.,
Molasses,Sugars & sweeteners,4.5–7.0,1–25%,15–25°C,N/A,Low–Medium,High,Medium,12–36 months,Moisture-barrier food-grade pouch or sealed container,"Primary risk is moisture pickup causing caking, fermentation or quality loss.",Keep dry and sealed; prevent water ingress and store away from heat and contamination.,
Treacle,Sugars & sweeteners,4.5–7.0,1–25%,15–25°C,N/A,Low–Medium,High,Medium,12–36 months,Moisture-barrier food-grade pouch or sealed container,"Primary risk is moisture pickup causing caking, fermentation or quality loss.",Keep dry and sealed; prevent water ingress and store away from heat and contamination.,
Maple syrup,Sugars & sweeteners,4.5–7.0,1–25%,15–25°C,N/A,Low–Medium,High,Medium,12–36 months,Moisture-barrier food-grade pouch or sealed container,"Primary risk is moisture pickup causing caking, fermentation or quality loss.",Keep dry and sealed; prevent water ingress and store away from heat and contamination.,
Agave syrup,Sugars & sweeteners,4.5–7.0,1–25%,15–25°C,N/A,Low–Medium,High,Medium,12–36 months,Moisture-barrier food-grade pouch or sealed container,"Primary risk is moisture pickup causing caking, fermentation or quality loss.",Keep dry and sealed; prevent water ingress and store away from heat and contamination.,
Honey,Sugars & sweeteners,3.4–6.1,15–20%,15–25°C,N/A,Low–Medium,High,Medium,12–36 months,Moisture-barrier food-grade pouch or sealed container,"Primary risk is moisture pickup causing caking, fermentation or quality loss.",Keep dry and sealed; prevent water ingress and store away from heat and contamination.,
Stevia leaves dried,Sugars & sweeteners,4.5–7.0,1–25%,15–25°C,N/A,Low–Medium,High,Medium,12–36 months,Moisture-barrier food-grade pouch or sealed container,"Primary risk is moisture pickup causing caking, fermentation or quality loss.",Keep dry and sealed; prevent water ingress and store away from heat and contamination.,
Olive oil,Edible oils & fats,N/A,<0.2%,15–20°C,N/A,Very high,Low,Very high,12–24 months,"Light-resistant, oxygen-minimizing food-grade bottle/container","Limits oxidation caused by oxygen, heat and light.","Store tightly closed in a cool, dark place; minimize headspace and repeated exposure to air.",
Extra virgin olive oil,Edible oils & fats,N/A,<0.5–1%,15–25°C,N/A,High,Medium,High,6–24 months,"Light-resistant, oxygen-minimizing food-grade bottle/container","Limits oxidation caused by oxygen, heat and light.","Store tightly closed in a cool, dark place; minimize headspace and repeated exposure to air.",
Sunflower oil,Edible oils & fats,N/A,<0.5–1%,15–25°C,N/A,High,Medium,High,6–24 months,"Light-resistant, oxygen-minimizing food-grade bottle/container","Limits oxidation caused by oxygen, heat and light.","Store tightly closed in a cool, dark place; minimize headspace and repeated exposure to air.",
Canola oil,Edible oils & fats,N/A,<0.5–1%,15–25°C,N/A,High,Medium,High,6–24 months,"Light-resistant, oxygen-minimizing food-grade bottle/container","Limits oxidation caused by oxygen, heat and light.","Store tightly closed in a cool, dark place; minimize headspace and repeated exposure to air.",
Rapeseed oil,Edible oils & fats,N/A,<0.5–1%,15–25°C,N/A,High,Medium,High,6–24 months,"Light-resistant, oxygen-minimizing food-grade bottle/container","Limits oxidation caused by oxygen, heat and light.","Store tightly closed in a cool, dark place; minimize headspace and repeated exposure to air.",
Soybean oil,Edible oils & fats,N/A,<0.5–1%,15–25°C,N/A,High,Medium,High,6–24 months,"Light-resistant, oxygen-minimizing food-grade bottle/container","Limits oxidation caused by oxygen, heat and light.","Store tightly closed in a cool, dark place; minimize headspace and repeated exposure to air.",
Corn oil,Edible oils & fats,N/A,<0.5–1%,15–25°C,N/A,High,Medium,High,6–24 months,"Light-resistant, oxygen-minimizing food-grade bottle/container","Limits oxidation caused by oxygen, heat and light.","Store tightly closed in a cool, dark place; minimize headspace and repeated exposure to air.",
Rice bran oil,Edible oils & fats,N/A,<0.5–1%,15–25°C,N/A,High,Medium,High,6–24 months,"Light-resistant, oxygen-minimizing food-grade bottle/container","Limits oxidation caused by oxygen, heat and light.","Store tightly closed in a cool, dark place; minimize headspace and repeated exposure to air.",
Peanut oil,Edible oils & fats,N/A,<0.5–1%,15–25°C,N/A,High,Medium,High,6–24 months,"Light-resistant, oxygen-minimizing food-grade bottle/container","Limits oxidation caused by oxygen, heat and light.","Store tightly closed in a cool, dark place; minimize headspace and repeated exposure to air.",
Sesame oil,Edible oils & fats,N/A,<0.5–1%,15–25°C,N/A,High,Medium,High,6–24 months,"Light-resistant, oxygen-minimizing food-grade bottle/container","Limits oxidation caused by oxygen, heat and light.","Store tightly closed in a cool, dark place; minimize headspace and repeated exposure to air.",
Mustard oil,Edible oils & fats,N/A,<0.5–1%,15–25°C,N/A,High,Medium,High,6–24 months,"Light-resistant, oxygen-minimizing food-grade bottle/container","Limits oxidation caused by oxygen, heat and light.","Store tightly closed in a cool, dark place; minimize headspace and repeated exposure to air.",
Coconut oil,Edible oils & fats,N/A,<0.5–1%,15–25°C,N/A,High,Medium,High,6–24 months,"Light-resistant, oxygen-minimizing food-grade bottle/container","Limits oxidation caused by oxygen, heat and light.","Store tightly closed in a cool, dark place; minimize headspace and repeated exposure to air.",
Palm oil,Edible oils & fats,N/A,<0.5–1%,15–25°C,N/A,High,Medium,High,6–24 months,"Light-resistant, oxygen-minimizing food-grade bottle/container","Limits oxidation caused by oxygen, heat and light.","Store tightly closed in a cool, dark place; minimize headspace and repeated exposure to air.",
Palm kernel oil,Edible oils & fats,N/A,<0.5–1%,15–25°C,N/A,High,Medium,High,6–24 months,"Light-resistant, oxygen-minimizing food-grade bottle/container","Limits oxidation caused by oxygen, heat and light.","Store tightly closed in a cool, dark place; minimize headspace and repeated exposure to air.",
Cottonseed oil,Edible oils & fats,N/A,<0.5–1%,15–25°C,N/A,High,Medium,High,6–24 months,"Light-resistant, oxygen-minimizing food-grade bottle/container","Limits oxidation caused by oxygen, heat and light.","Store tightly closed in a cool, dark place; minimize headspace and repeated exposure to air.",
Safflower oil,Edible oils & fats,N/A,<0.5–1%,15–25°C,N/A,High,Medium,High,6–24 months,"Light-resistant, oxygen-minimizing food-grade bottle/container","Limits oxidation caused by oxygen, heat and light.","Store tightly closed in a cool, dark place; minimize headspace and repeated exposure to air.",
Flaxseed oil,Edible oils & fats,N/A,<0.5–1%,15–25°C,N/A,High,Medium,High,6–24 months,"Light-resistant, oxygen-minimizing food-grade bottle/container","Limits oxidation caused by oxygen, heat and light.","Store tightly closed in a cool, dark place; minimize headspace and repeated exposure to air.",
Avocado oil,Edible oils & fats,N/A,<0.5–1%,15–25°C,N/A,High,Medium,High,6–24 months,"Light-resistant, oxygen-minimizing food-grade bottle/container","Limits oxidation caused by oxygen, heat and light.","Store tightly closed in a cool, dark place; minimize headspace and repeated exposure to air.",
Grapeseed oil,Edible oils & fats,N/A,<0.5–1%,15–25°C,N/A,High,Medium,High,6–24 months,"Light-resistant, oxygen-minimizing food-grade bottle/container","Limits oxidation caused by oxygen, heat and light.","Store tightly closed in a cool, dark place; minimize headspace and repeated exposure to air.",
Walnut oil,Edible oils & fats,N/A,<0.5–1%,15–25°C,N/A,High,Medium,High,6–24 months,"Light-resistant, oxygen-minimizing food-grade bottle/container","Limits oxidation caused by oxygen, heat and light.","Store tightly closed in a cool, dark place; minimize headspace and repeated exposure to air.",
Coffee beans,Beverages,5.0–6.0,9–12%,15–25°C,Low,High,High,High,6–12 months,Food-grade bottle/carton/pouch with appropriate barrier,Controls oxygen/light exposure and protects against contamination and leakage.,"Use hygienic filling, suitable seals and the recommended storage temperature; protect sensitive drinks from light.",
Arabica coffee,Beverages,2.5–7.0,85–99%,0–25°C*,N/A after processing,Medium–High,Low,Medium–High,days–24 months*,Food-grade bottle/carton/pouch with appropriate barrier,Controls oxygen/light exposure and protects against contamination and leakage.,"Use hygienic filling, suitable seals and the recommended storage temperature; protect sensitive drinks from light.",
Robusta coffee,Beverages,2.5–7.0,85–99%,0–25°C*,N/A after processing,Medium–High,Low,Medium–High,days–24 months*,Food-grade bottle/carton/pouch with appropriate barrier,Controls oxygen/light exposure and protects against contamination and leakage.,"Use hygienic filling, suitable seals and the recommended storage temperature; protect sensitive drinks from light.",
Roasted coffee beans,Beverages,2.5–7.0,85–99%,0–25°C*,N/A after processing,Medium–High,Low,Medium–High,days–24 months*,Food-grade bottle/carton/pouch with appropriate barrier,Controls oxygen/light exposure and protects against contamination and leakage.,"Use hygienic filling, suitable seals and the recommended storage temperature; protect sensitive drinks from light.",
Green coffee beans,Beverages,2.5–7.0,85–99%,0–25°C*,N/A after processing,Medium–High,Low,Medium–High,days–24 months*,Food-grade bottle/carton/pouch with appropriate barrier,Controls oxygen/light exposure and protects against contamination and leakage.,"Use hygienic filling, suitable seals and the recommended storage temperature; protect sensitive drinks from light.",
Cocoa beans,Beverages,5.0–6.0,6–8%,15–20°C,Low,Medium–High,High,Medium,6–24 months,Food-grade bottle/carton/pouch with appropriate barrier,Controls oxygen/light exposure and protects against contamination and leakage.,"Use hygienic filling, suitable seals and the recommended storage temperature; protect sensitive drinks from light.",
Cocoa powder,Beverages,2.5–7.0,85–99%,0–25°C*,N/A after processing,Medium–High,Low,Medium–High,days–24 months*,Food-grade bottle/carton/pouch with appropriate barrier,Controls oxygen/light exposure and protects against contamination and leakage.,"Use hygienic filling, suitable seals and the recommended storage temperature; protect sensitive drinks from light.",
Tea leaves,Beverages,2.5–7.0,85–99%,0–25°C*,N/A after processing,Medium–High,Low,Medium–High,days–24 months*,Food-grade bottle/carton/pouch with appropriate barrier,Controls oxygen/light exposure and protects against contamination and leakage.,"Use hygienic filling, suitable seals and the recommended storage temperature; protect sensitive drinks from light.",
Black tea,Beverages,2.5–7.0,85–99%,0–25°C*,N/A after processing,Medium–High,Low,Medium–High,days–24 months*,Food-grade bottle/carton/pouch with appropriate barrier,Controls oxygen/light exposure and protects against contamination and leakage.,"Use hygienic filling, suitable seals and the recommended storage temperature; protect sensitive drinks from light.",
Green tea,Beverages,2.5–7.0,85–99%,0–25°C*,N/A after processing,Medium–High,Low,Medium–High,days–24 months*,Food-grade bottle/carton/pouch with appropriate barrier,Controls oxygen/light exposure and protects against contamination and leakage.,"Use hygienic filling, suitable seals and the recommended storage temperature; protect sensitive drinks from light.",
Oolong tea,Beverages,2.5–7.0,85–99%,0–25°C*,N/A after processing,Medium–High,Low,Medium–High,days–24 months*,Food-grade bottle/carton/pouch with appropriate barrier,Controls oxygen/light exposure and protects against contamination and leakage.,"Use hygienic filling, suitable seals and the recommended storage temperature; protect sensitive drinks from light.",
White tea,Beverages,2.5–7.0,85–99%,0–25°C*,N/A after processing,Medium–High,Low,Medium–High,days–24 months*,Food-grade bottle/carton/pouch with appropriate barrier,Controls oxygen/light exposure and protects against contamination and leakage.,"Use hygienic filling, suitable seals and the recommended storage temperature; protect sensitive drinks from light.",
Pu-erh tea,Beverages,2.5–7.0,85–99%,0–25°C*,N/A after processing,Medium–High,Low,Medium–High,days–24 months*,Food-grade bottle/carton/pouch with appropriate barrier,Controls oxygen/light exposure and protects against contamination and leakage.,"Use hygienic filling, suitable seals and the recommended storage temperature; protect sensitive drinks from light.",
Herbal tea,Beverages,2.5–7.0,85–99%,0–25°C*,N/A after processing,Medium–High,Low,Medium–High,days–24 months*,Food-grade bottle/carton/pouch with appropriate barrier,Controls oxygen/light exposure and protects against contamination and leakage.,"Use hygienic filling, suitable seals and the recommended storage temperature; protect sensitive drinks from light.",
Chamomile tea,Beverages,2.5–7.0,85–99%,0–25°C*,N/A after processing,Medium–High,Low,Medium–High,days–24 months*,Food-grade bottle/carton/pouch with appropriate barrier,Controls oxygen/light exposure and protects against contamination and leakage.,"Use hygienic filling, suitable seals and the recommended storage temperature; protect sensitive drinks from light.",
Peppermint tea,Beverages,2.5–7.0,85–99%,0–25°C*,N/A after processing,Medium–High,Low,Medium–High,days–24 months*,Food-grade bottle/carton/pouch with appropriate barrier,Controls oxygen/light exposure and protects against contamination and leakage.,"Use hygienic filling, suitable seals and the recommended storage temperature; protect sensitive drinks from light.",
Hibiscus tea,Beverages,2.5–7.0,85–99%,0–25°C*,N/A after processing,Medium–High,Low,Medium–High,days–24 months*,Food-grade bottle/carton/pouch with appropriate barrier,Controls oxygen/light exposure and protects against contamination and leakage.,"Use hygienic filling, suitable seals and the recommended storage temperature; protect sensitive drinks from light.",
Coconut water,Beverages,2.5–7.0,85–99%,0–25°C*,N/A after processing,Medium–High,Low,Medium–High,days–24 months*,Food-grade bottle/carton/pouch with appropriate barrier,Controls oxygen/light exposure and protects against contamination and leakage.,"Use hygienic filling, suitable seals and the recommended storage temperature; protect sensitive drinks from light.",
Apple juice,Beverages,2.5–7.0,85–99%,0–25°C*,N/A after processing,Medium–High,Low,Medium–High,days–24 months*,Food-grade bottle/carton/pouch with appropriate barrier,Controls oxygen/light exposure and protects against contamination and leakage.,"Use hygienic filling, suitable seals and the recommended storage temperature; protect sensitive drinks from light.",
Orange juice,Beverages,2.5–7.0,85–99%,0–25°C*,N/A after processing,Medium–High,Low,Medium–High,days–24 months*,Food-grade bottle/carton/pouch with appropriate barrier,Controls oxygen/light exposure and protects against contamination and leakage.,"Use hygienic filling, suitable seals and the recommended storage temperature; protect sensitive drinks from light.",
Mango juice,Beverages,2.5–7.0,85–99%,0–25°C*,N/A after processing,Medium–High,Low,Medium–High,days–24 months*,Food-grade bottle/carton/pouch with appropriate barrier,Controls oxygen/light exposure and protects against contamination and leakage.,"Use hygienic filling, suitable seals and the recommended storage temperature; protect sensitive drinks from light.",
Grape juice,Beverages,2.5–7.0,85–99%,0–25°C*,N/A after processing,Medium–High,Low,Medium–High,days–24 months*,Food-grade bottle/carton/pouch with appropriate barrier,Controls oxygen/light exposure and protects against contamination and leakage.,"Use hygienic filling, suitable seals and the recommended storage temperature; protect sensitive drinks from light.",
Pineapple juice,Beverages,2.5–7.0,85–99%,0–25°C*,N/A after processing,Medium–High,Low,Medium–High,days–24 months*,Food-grade bottle/carton/pouch with appropriate barrier,Controls oxygen/light exposure and protects against contamination and leakage.,"Use hygienic filling, suitable seals and the recommended storage temperature; protect sensitive drinks from light.",
Tomato juice,Beverages,2.5–7.0,85–99%,0–25°C*,N/A after processing,Medium–High,Low,Medium–High,days–24 months*,Food-grade bottle/carton/pouch with appropriate barrier,Controls oxygen/light exposure and protects against contamination and leakage.,"Use hygienic filling, suitable seals and the recommended storage temperature; protect sensitive drinks from light.",
Lemon juice,Beverages,2.5–7.0,85–99%,0–25°C*,N/A after processing,Medium–High,Low,Medium–High,days–24 months*,Food-grade bottle/carton/pouch with appropriate barrier,Controls oxygen/light exposure and protects against contamination and leakage.,"Use hygienic filling, suitable seals and the recommended storage temperature; protect sensitive drinks from light.",
Raisin,Processed fruits & fruit products,2.5–4.5,10–85%,0–25°C*,N/A after processing,Medium–High,Medium–High,Medium–High,1–24 months*,High-barrier sealed pouch/jar with suitable light and oxygen barrier,"Processing reduces respiration; packaging then limits moisture, oxygen, contamination and light.","Process hygienically, achieve the intended moisture/aw or heat treatment, seal promptly and follow the validated storage condition.",
Sultana,Processed fruits & fruit products,2.5–4.5,10–85%,0–25°C*,N/A after processing,Medium–High,Medium–High,Medium–High,1–24 months*,High-barrier sealed pouch/jar with suitable light and oxygen barrier,"Processing reduces respiration; packaging then limits moisture, oxygen, contamination and light.","Process hygienically, achieve the intended moisture/aw or heat treatment, seal promptly and follow the validated storage condition.",
Currant dried,Processed fruits & fruit products,2.5–4.5,10–85%,0–25°C*,N/A after processing,Medium–High,Medium–High,Medium–High,1–24 months*,High-barrier sealed pouch/jar with suitable light and oxygen barrier,"Processing reduces respiration; packaging then limits moisture, oxygen, contamination and light.","Process hygienically, achieve the intended moisture/aw or heat treatment, seal promptly and follow the validated storage condition.",
Dried apricot,Processed fruits & fruit products,2.5–4.5,10–85%,0–25°C*,N/A after processing,Medium–High,Medium–High,Medium–High,1–24 months*,High-barrier sealed pouch/jar with suitable light and oxygen barrier,"Processing reduces respiration; packaging then limits moisture, oxygen, contamination and light.","Process hygienically, achieve the intended moisture/aw or heat treatment, seal promptly and follow the validated storage condition.",
Dried peach,Processed fruits & fruit products,2.5–4.5,10–85%,0–25°C*,N/A after processing,Medium–High,Medium–High,Medium–High,1–24 months*,High-barrier sealed pouch/jar with suitable light and oxygen barrier,"Processing reduces respiration; packaging then limits moisture, oxygen, contamination and light.","Process hygienically, achieve the intended moisture/aw or heat treatment, seal promptly and follow the validated storage condition.",
Dried plum,Processed fruits & fruit products,2.5–4.5,10–85%,0–25°C*,N/A after processing,Medium–High,Medium–High,Medium–High,1–24 months*,High-barrier sealed pouch/jar with suitable light and oxygen barrier,"Processing reduces respiration; packaging then limits moisture, oxygen, contamination and light.","Process hygienically, achieve the intended moisture/aw or heat treatment, seal promptly and follow the validated storage condition.",
Prune,Processed fruits & fruit products,2.5–4.5,10–85%,0–25°C*,N/A after processing,Medium–High,Medium–High,Medium–High,1–24 months*,High-barrier sealed pouch/jar with suitable light and oxygen barrier,"Processing reduces respiration; packaging then limits moisture, oxygen, contamination and light.","Process hygienically, achieve the intended moisture/aw or heat treatment, seal promptly and follow the validated storage condition.",
Dried mango,Processed fruits & fruit products,2.5–4.5,10–85%,0–25°C*,N/A after processing,Medium–High,Medium–High,Medium–High,1–24 months*,High-barrier sealed pouch/jar with suitable light and oxygen barrier,"Processing reduces respiration; packaging then limits moisture, oxygen, contamination and light.","Process hygienically, achieve the intended moisture/aw or heat treatment, seal promptly and follow the validated storage condition.",
Dried pineapple,Processed fruits & fruit products,2.5–4.5,10–85%,0–25°C*,N/A after processing,Medium–High,Medium–High,Medium–High,1–24 months*,High-barrier sealed pouch/jar with suitable light and oxygen barrier,"Processing reduces respiration; packaging then limits moisture, oxygen, contamination and light.","Process hygienically, achieve the intended moisture/aw or heat treatment, seal promptly and follow the validated storage condition.",
Dried banana,Processed fruits & fruit products,2.5–4.5,10–85%,0–25°C*,N/A after processing,Medium–High,Medium–High,Medium–High,1–24 months*,High-barrier sealed pouch/jar with suitable light and oxygen barrier,"Processing reduces respiration; packaging then limits moisture, oxygen, contamination and light.","Process hygienically, achieve the intended moisture/aw or heat treatment, seal promptly and follow the validated storage condition.",
Banana chips,Processed fruits & fruit products,2.5–4.5,10–85%,0–25°C*,N/A after processing,Medium–High,Medium–High,Medium–High,1–24 months*,High-barrier sealed pouch/jar with suitable light and oxygen barrier,"Processing reduces respiration; packaging then limits moisture, oxygen, contamination and light.","Process hygienically, achieve the intended moisture/aw or heat treatment, seal promptly and follow the validated storage condition.",
Dried papaya,Processed fruits & fruit products,2.5–4.5,10–85%,0–25°C*,N/A after processing,Medium–High,Medium–High,Medium–High,1–24 months*,High-barrier sealed pouch/jar with suitable light and oxygen barrier,"Processing reduces respiration; packaging then limits moisture, oxygen, contamination and light.","Process hygienically, achieve the intended moisture/aw or heat treatment, seal promptly and follow the validated storage condition.",
Dried fig,Processed fruits & fruit products,2.5–4.5,10–85%,0–25°C*,N/A after processing,Medium–High,Medium–High,Medium–High,1–24 months*,High-barrier sealed pouch/jar with suitable light and oxygen barrier,"Processing reduces respiration; packaging then limits moisture, oxygen, contamination and light.","Process hygienically, achieve the intended moisture/aw or heat treatment, seal promptly and follow the validated storage condition.",
Dried apple,Processed fruits & fruit products,2.5–4.5,10–85%,0–25°C*,N/A after processing,Medium–High,Medium–High,Medium–High,1–24 months*,High-barrier sealed pouch/jar with suitable light and oxygen barrier,"Processing reduces respiration; packaging then limits moisture, oxygen, contamination and light.","Process hygienically, achieve the intended moisture/aw or heat treatment, seal promptly and follow the validated storage condition.",
Dried pear,Processed fruits & fruit products,2.5–4.5,10–85%,0–25°C*,N/A after processing,Medium–High,Medium–High,Medium–High,1–24 months*,High-barrier sealed pouch/jar with suitable light and oxygen barrier,"Processing reduces respiration; packaging then limits moisture, oxygen, contamination and light.","Process hygienically, achieve the intended moisture/aw or heat treatment, seal promptly and follow the validated storage condition.",
Dried cranberry,Processed fruits & fruit products,2.5–4.5,10–85%,0–25°C*,N/A after processing,Medium–High,Medium–High,Medium–High,1–24 months*,High-barrier sealed pouch/jar with suitable light and oxygen barrier,"Processing reduces respiration; packaging then limits moisture, oxygen, contamination and light.","Process hygienically, achieve the intended moisture/aw or heat treatment, seal promptly and follow the validated storage condition.",
Dried blueberry,Processed fruits & fruit products,2.5–4.5,10–85%,0–25°C*,N/A after processing,Medium–High,Medium–High,Medium–High,1–24 months*,High-barrier sealed pouch/jar with suitable light and oxygen barrier,"Processing reduces respiration; packaging then limits moisture, oxygen, contamination and light.","Process hygienically, achieve the intended moisture/aw or heat treatment, seal promptly and follow the validated storage condition.",
Dried strawberry,Processed fruits & fruit products,2.5–4.5,10–85%,0–25°C*,N/A after processing,Medium–High,Medium–High,Medium–High,1–24 months*,High-barrier sealed pouch/jar with suitable light and oxygen barrier,"Processing reduces respiration; packaging then limits moisture, oxygen, contamination and light.","Process hygienically, achieve the intended moisture/aw or heat treatment, seal promptly and follow the validated storage condition.",
Fruit leather,Processed fruits & fruit products,2.5–4.5,10–85%,0–25°C*,N/A after processing,Medium–High,Medium–High,Medium–High,1–24 months*,High-barrier sealed pouch/jar with suitable light and oxygen barrier,"Processing reduces respiration; packaging then limits moisture, oxygen, contamination and light.","Process hygienically, achieve the intended moisture/aw or heat treatment, seal promptly and follow the validated storage condition.",
Apple sauce,Processed fruits & fruit products,2.5–4.5,10–85%,0–25°C*,N/A after processing,Medium–High,Medium–High,Medium–High,1–24 months*,High-barrier sealed pouch/jar with suitable light and oxygen barrier,"Processing reduces respiration; packaging then limits moisture, oxygen, contamination and light.","Process hygienically, achieve the intended moisture/aw or heat treatment, seal promptly and follow the validated storage condition.",
Fruit puree,Processed fruits & fruit products,2.5–4.5,10–85%,0–25°C*,N/A after processing,Medium–High,Medium–High,Medium–High,1–24 months*,High-barrier sealed pouch/jar with suitable light and oxygen barrier,"Processing reduces respiration; packaging then limits moisture, oxygen, contamination and light.","Process hygienically, achieve the intended moisture/aw or heat treatment, seal promptly and follow the validated storage condition.",
Mango puree,Processed fruits & fruit products,2.5–4.5,10–85%,0–25°C*,N/A after processing,Medium–High,Medium–High,Medium–High,1–24 months*,High-barrier sealed pouch/jar with suitable light and oxygen barrier,"Processing reduces respiration; packaging then limits moisture, oxygen, contamination and light.","Process hygienically, achieve the intended moisture/aw or heat treatment, seal promptly and follow the validated storage condition.",
Tomato-free fruit jam,Processed fruits & fruit products,2.5–4.5,10–85%,0–25°C*,N/A after processing,Medium–High,Medium–High,Medium–High,1–24 months*,High-barrier sealed pouch/jar with suitable light and oxygen barrier,"Processing reduces respiration; packaging then limits moisture, oxygen, contamination and light.","Process hygienically, achieve the intended moisture/aw or heat treatment, seal promptly and follow the validated storage condition.",
Strawberry jam,Processed fruits & fruit products,2.5–4.5,10–85%,0–25°C*,N/A after processing,Medium–High,Medium–High,Medium–High,1–24 months*,High-barrier sealed pouch/jar with suitable light and oxygen barrier,"Processing reduces respiration; packaging then limits moisture, oxygen, contamination and light.","Process hygienically, achieve the intended moisture/aw or heat treatment, seal promptly and follow the validated storage condition.",
Raspberry jam,Processed fruits & fruit products,2.5–4.5,10–85%,0–25°C*,N/A after processing,Medium–High,Medium–High,Medium–High,1–24 months*,High-barrier sealed pouch/jar with suitable light and oxygen barrier,"Processing reduces respiration; packaging then limits moisture, oxygen, contamination and light.","Process hygienically, achieve the intended moisture/aw or heat treatment, seal promptly and follow the validated storage condition.",
